entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,total_duration_session,Maximum,5100,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,Maximum,152873098,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,Maximum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,Maximum,26.8773,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,Maximum,3600,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,Maximum,3300,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,Maximum,7,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,Maximum,9,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,Mean,1.780058651,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,Mean,113.1964809,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,Mean,7002921.699,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,Mean,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,Mean,0.151829032,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,Mean,77.41935484,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,Mean,38.41642229,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,Mean,0.189638319,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,Mean,0.113391984,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,Sum,1821,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,Sum,115800,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,Sum,7163988898,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,Sum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,Sum,155.3211,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,Sum,79200,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,Sum,39300,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,Sum,194,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,Sum,116,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,StandardDeviation,1.518803602,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,StandardDeviation,370.4493589,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,StandardDeviation,13265562.13,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,StandardDeviation,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,StandardDeviation,1.0721061,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,StandardDeviation,261.3909562,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,StandardDeviation,187.7361125,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,StandardDeviation,0.539270151,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,StandardDeviation,0.540752655,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,ApproxQuantiles-0.25,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,ApproxQuantiles-0.25,7641,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
